1793;1867;74
1793;1868;75
1793;1872;79
1793;1874;81
1793;1878;85
1794;1827;33
1794;1832;38
1794;1840;46
1794;1842;48
1794;1843;49
1794;1845;51
1794;1847;53
1794;1850;56
1794;1854;60
1794;1855;61
1794;1859;65
1794;1862;68
1794;1866;72
1794;1867;73
1794;1867;73
1794;1868;74
1794;1868;74
1794;1874;80
1794;1882;88
1795;1826;31
1795;1829;34
1795;1837;42
1795;1843;48
1795;1851;56
1795;1852;57
1795;1861;66
1795;1861;66
1795;1867;72
1795;1871;76
1795;1872;77
1795;1874;79
1796;1828;32
1796;1828;32
1796;1834;38
1796;1840;44
1796;1843;47
1796;1845;49
1796;1846;50
1796;1846;50
1796;1847;51
1796;1848;52
1796;1852;56
1796;1857;61
1796;1866;70
1796;1867;71
1796;1870;74
1796;1881;85
1796;1882;86
1796;1890;94
1797;1817;20
1797;1832;35
1797;1833;36
1797;1835;38
1797;1841;44
1797;1848;51
1797;1850;53
1797;1870;73
1797;1872;75
1797;1872;75
1797;1875;78
1797;1876;79
1798;1815;17
1798;1827;29
1798;1830;32
1798;1833;35
1798;1833;35
1798;1833;35
1798;1836;38
1798;1841;43
1798;1842;44
1798;1843;45
1798;1845;47
1798;1849;51
1798;1851;53
1798;1855;57
1798;1859;61
1798;1865;67
1798;1869;71
1798;1870;72
1798;1871;73
1798;1875;77
1798;1875;77
1798;1880;82
1798;1888;90
1799;1829;30
1799;1835;36
1799;1837;38
1799;1839;40
1799;1843;44
1799;1843;44
1799;1845;46
1799;1845;46
1799;1848;49
1799;1850;51
1799;1860;61
1799;1862;63
1799;1869;70
1799;1873;74
1799;1875;76
1799;1880;81
1799;1881;82
1799;1891;92
1800;1811;11
1800;1825;25
1800;1833;33
1800;1834;34
1800;1835;35
1800;1836;36
1800;1842;42
1800;1852;52
1800;1854;54
1800;1854;54
1800;1855;55
1800;1855;55
1800;1856;56
1800;1858;58
1800;1866;66
1800;1874;74
1800;1874;74
1800;1874;74
1800;1876;76
1800;1878;78
1800;1879;79
1800;1879;79
1800;1880;80
1800;1885;85
1800;1888;88
1801;1817;16
1801;1830;29
1801;1834;33
1801;1839;38
1801;1843;42
1801;1847;46
1801;1848;47
1801;1849;48
1801;1849;48
1801;1849;48
1801;1853;52
1801;1862;61
1801;1865;64
1801;1866;65
1801;1869;68
1801;1871;70
1801;1876;75
1801;1889;88
1802;1823;21
1802;1823;21
1802;1827;25
1802;1827;25
1802;1834;32
1802;1840;38
1802;1842;40
1802;1847;45
1802;1847;45
1802;1851;49
1802;1854;52
1802;1854;52
1802;1855;53
1802;1859;57
1802;1862;60
1802;1863;61
1802;1877;75
1802;1895;93
1803;1829;26
1803;1829;26
1803;1830;27
1803;1832;29
1803;1833;30
1803;1836;33
1803;1839;36
1803;1846;43
1803;1849;46
1803;1854;51
